Date;Price;Open;High;Low;Vol.;Change %;
Jan 02;2012;4158.06;4177.53;4178.25;4147.86;-;-0.47%
Jan 03;2012;4163.16;4158.06;4192.01;4154.18;-;0.12%
Jan 04;2012;4198.12;4163.16;4199.37;4153.80;-;0.84%
Jan 05;2012;4188.65;4198.12;4198.12;4176.37;-;-0.23%
Jan 06;2012;4201.48;4188.65;4203.79;4177.08;-;0.31%
Jan 09;2012;4205.19;4201.48;4209.28;4182.89;-;0.09%
Jan 10;2012;4210.47;4205.19;4237.22;4199.80;-;0.13%
Jan 11;2012;4204.19;4210.47;4215.17;4189.55;-;-0.15%
Jan 12;2012;4213.54;4204.19;4230.96;4204.19;-;0.22%
Jan 13;2012;4205.05;4213.54;4225.68;4196.95;-;-0.20%
Jan 16;2012;4220.57;4205.05;4226.33;4191.72;-;0.37%
Jan 17;2012;4228.73;4220.57;4238.15;4216.13;-;0.19%
Jan 18;2012;4249.39;4228.73;4254.81;4213.89;-;0.49%
Jan 19;2012;4268.94;4249.39;4272.85;4018.46;-;0.46%
Jan 20;2012;4278.17;4268.94;4279.60;4251.14;-;0.22%
Jan 23;2012;4248.17;4278.17;4282.73;4244.33;-;-0.70%
Jan 24;2012;4243.44;4248.17;4250.27;4236.51;-;-0.11%
Jan 25;2012;4219.47;4243.44;4244.74;4218.74;-;-0.56%
Jan 26;2012;4218.79;4219.47;4230.86;4205.97;-;-0.02%
Jan 27;2012;4226.08;4218.79;4228.26;4205.18;-;0.17%
Jan 30;2012;4222.40;4226.08;4228.94;4185.71;-;-0.09%
Jan 31;2012;4260.76;4222.40;4275.69;4222.40;-;0.91%
feb-01;2012;4316.37;4260.76;4319.32;4260.97;-;1.31%
feb-02;2012;4338.37;4316.37;4346.49;4312.06;-;0.51%
feb-03;2012;4382.05;4338.37;4392.45;4334.30;-;1.01%
feb-06;2012;4377.69;4382.05;4387.69;4362.54;-;-0.10%
feb-07;2012;4362.74;4377.69;4383.51;4353.60;-;-0.34%
feb-08;2012;4362.16;4362.74;4365.93;4350.07;-;-0.01%
feb-09;2012;4403.95;4362.16;4410.27;4351.13;-;0.96%
feb-10;2012;4410.74;4403.95;4413.84;4371.08;-;0.15%
feb-13;2012;4433.59;4410.74;4442.53;4409.60;-;0.52%
